N,Key,Bemerkung_Maria,Autor,Jahr,Titel,Zeitschrift,DOI,ID_Studie,Screener,Extracter,Lebensraum,Lebensraum_Details,Biotoptyp,Land,Bundesland,Ort,X,Y,geographische_Genauigkeit_km,Antwortvariable,x_Achse,Hauptgruppe_RoteListen,Untergruppe_RoteListen,Untergruppe_RoteListen_Detail,Anzahl_Arten_Gruppen,Startjahr,Endjahr,Dauer,Anzahl_Jahre,ExperimentObservation,Trend,Massnahme_Schutz,Massnahme_Schutz_andere,Massnahme_Management,Massnahme_Impuls,Notizen,LiteraturRawdata,Studie_in_D,ID,StationID,Antwortvariable_ORIG
327,Heinrichs2014,NA,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,NA,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",9.983333333,51.55,NA,Artenzahl,"Zeit, Waldgesellschaftstypen",Pflanzen,Pflanzen,Pflanzen,NA,1955,2012,58,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
328,Heinrichs2014,NA,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,NA,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",9.983333333,51.55,NA,Artenzahl,"Zeit, Waldgesellschaftstypen",Pflanzen,Pflanzen,Pflanzen,NA,1955,2012,58,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
893,Thomas1983,NA,"Thomas, Wolfgang",1983,"Änderungen der Flora des NSG ""Venner Moor"" in den letzten 44 Jahren",Natur und Heimat,NA,NA,Maria Sporbert,Antonio Kind,Wald,NA,NA,Deutschland,Nordrhein-Westfalen,12 km südwestlich von Münster im Kreis Coesfeld,7.185965772,51.86231409,10,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1938,1982,45,4,Beobachtung,positive,Andere,Naturschutzgebiet Venner Moor,NA,NA,sehr detaillierte Artenlisten,Literatur,D,NA,NA,NA
10238,Runge1981,NA,"Runge, F.",1981,Änderungen der Krautschicht in einem Eichen-Hainbuchenwald im Laufe von 21 Jahren,Natur und Heimat,NA,NA,Lena Hartmann,Lena Hartmann,Wald,NA,NA,Deutschland,Nordrhein-Westfalen,"In der Zone ""Große Büsche"" in der Nähe von Wilbrenning und Niederort",7.550575819,51.90097353,NA,Abundanz,Zeit,Pflanzen,Pflanzen,Farn- und Blütenpflanzen,NA,1960,1981,22,22,Beobachtung,no,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
250,Butzeck1988,NA,Butzeck,1988,Beiträge zur Geschiehte der Säugetierfauna der DDR Teil 2: Der Luchs (Lynx Lyttx Linnö 17581,Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,NA,NA,Deutschland,NA,ehemalige DDR-Gebiete,12.832,52.253,200,Abundanz,Zeit,Wirbeltiere,Saeuger,Säuger,1,1983,1984,2,2,Beobachtung,negative to positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10599,Schmidt2004,NA,"Schmidt, A. et al.",2004,"Bisherige Ergebnisse zur Nutzung von ""Fledermaus-Großraum- und Überwinterungshöhlen IFW"" durch Abendsegler (Nyclalus noctula) in Ost-Brandenburg und zu Überwinterungsversuchen der Art","Nyctalus (N.F.), Band 9, Heft 4, 365-371",NA,NA,Maria Sporbert,Daniel Petry,Wald,NA,NA,Deutschland,Brandenburg,"Fledermauskastenrevier ""Möllenwinkel"", 9km suedlich Beeskow bzw. Im Fledermauskastenrevier ""Kohlsdorfer Chaussee"", 1,5km sued-westlich Beeskow.",14.23887141,52.16134574,NA,Abundanz,NA,Wirbeltiere,Saeuger,Chiroptera/ Fledermaeuse,1,1994,2002,9,8,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
570,Fischer2015A,NA,"Fischer, A. et al.",2015,Central European lichen pine forests in Bavaria: historical development and future,Tuexenia 35: 9–29,10.14471/2015.35.012,NA,Konrad Adler,Konrad Adler,Wald,"Flechtenreiche Kiefernwälder (FKW), Vegetationsgesellschaften hierbei entweder Cladonio-Pinetum oder Leucobryo-Pinetum",Nadel(Misch)Wälder und -Forste,Deutschland,Bayern,Lorenzer Reichswald (östlich von Nürnberg) und Nürnberger Reichswald,11.19482613,49.47241835,10,Abundanz,Zeit,Pflanzen,Moose,Moose,NA,1980,2014,35,2,Beobachtung,positive,NA,NA,NA,NA,"Studie enthält weitere Ergebnisse, diese allerdings schwer zu extrahieren",Literatur,D,NA,NA,NA
571,Fischer2015,NA,"Fischer, A. et al.",2015,Central European lichen pine forests in Bavaria: historical development and future,Tuexenia 35: 9–29,10.14471/2015.35.012,NA,Konrad Adler,Konrad Adler,Wald,"Flechtenreiche Kiefernwälder (FKW), Vegetationsgesellschaften hierbei entweder Cladonio-Pinetum oder Leucobryo-Pinetum",Nadel(Misch)Wälder und -Forste,Deutschland,Bayern,Lorenzer Reichswald (östlich von Nürnberg) und Nürnberger Reichswald,11.19482613,49.47241835,10,Abundanz,Zeit,Pilze_Flechten,Flechten,Flechten,NA,1980,2014,35,2,Beobachtung,negative,NA,NA,NA,NA,"Studie enthält weitere Ergebnisse, diese allerdings schwer zu extrahieren",Literatur,D,NA,NA,NA
545,Strubelt2016,NA,"Strubelt, I. et al.",2016,Changes in species composition and richness in an alluvial hardwood forest over 52yrs,Journal of Vegetation Science 28: 401–412,10.1111/jvs.12483,NA,Konrad Adler,Konrad Adler,Wald,"alter Hartholzauwald, dominierende Baumarten Quercus robur + Fraxinus excelsior (Querco-Ulmetum minoris)",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Haseder Holz (Auwald im Überschwemmungsgebiet der Innerste),9.919722222,52.18722222,NA,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1960,2012,53,3,Beobachtung,positive,Andere,NSG Haseder Busch,NA,NA,"Angabe zum Boden: topsoil consists of 1–2 m of loess from the Weichsel glacial period and is characterized by nutrientrich, sandy to clayey loam",Literatur,D,NA,NA,NA
546,Strubelt2016,NA,"Strubelt, I. et al.",2016,Changes in species composition and richness in an alluvial hardwood forest over 52yrs,Journal of Vegetation Science 28: 401–412,10.1111/jvs.12483,NA,Konrad Adler,Konrad Adler,Wald,"alter Hartholzauwald, dominierende Baumarten Quercus robur + Fraxinus excelsior (Querco-Ulmetum minoris)",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Haseder Holz (Auwald im Überschwemmungsgebiet der Innerste),9.919722222,52.18722222,NA,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1960,2012,53,3,Beobachtung,positive,Andere,NSG Haseder Busch,NA,NA,"Angabe zum Boden: topsoil consists of 1–2 m of loess from the Weichsel glacial period and is characterized by nutrientrich, sandy to clayey loam",Literatur,D,NA,NA,NA
10614,Ohlendorf2006,NA,"Ohlendorf, B.",2006,"Das Mausohr (Myotis myotis) in Sachsen-Anhalt - Erfassungsstand 2004, nebst bemerkenswerten Beobachtungen","Nyctalus (N.F.), Band 11, Heft 2-3, 214-223",NA,NA,Maria Sporbert,Daniel Petry,Wald,NA,NA,Deutschland,Sachsen-Anhalt,Gesamt Sachsen-Anhalt,11.6922799,51.95026628,NA,Abundanz,NA,Wirbeltiere,Saeuger,Chiroptera/ Fledermaeuse,1,1999,2004,6,6,Beobachtung,no,NA,NA,NA,NA,Relevant? Wie oben Fokus auf Winter- und Reproduktionsquartiere,Literatur,D,NA,NA,NA
890,Runge1995,NA,"Runge, Fritz",1995,Dauerquadratsuntersuchungen in einem Buchen-Eichenwald des Münsterlandes,Natur und Heimat,NA,NA,Maria Sporbert,Antonio Kind,Wald,NA,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Nordrhein-Westfalen,Wolbecker Tiergarten,7.745892243,51.91050246,5,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,17,1979,1993,15,15,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10523,Platen1994,NA,Platen R.,1994,Der Einfluß von Fremdländeranbaugebieten auf die Zusam-mensetzung der Spinnen- (Araneida) und Weberknechtge-meinschaften (Opilionida) im Staatswald Burgholz,"Jahresberichte des Naturwissenschaftlichen Vereins in Wuppertal 47. Heft, Seite 17-39",NA,NA,Maria Sporbert,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Nordrhein-Westfalen,Staatswald Burgholz in Solingen (Bergisches Land),7.115176,51.223182,5,Artenzahl,NA,Wirbellose,Arthropoden,Arthropoden,63,1990,1991,2,2,Beobachtung,no,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10510,Kolbe1985,NA,"Kolbe W., K. Dorn",1985,Der Einfluss vonNa-PCP auf die Anthropoden-Fauna der Bodenstreu- ein Beitrag zur Ökotoxikologie,"Jahresberichte des Naturwissenschaftlichen Vereins in Wuppertal 38. Heft, Seite 108 – 117",NA,NA,Maria Sporbert,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Nordrhein-Westfalen,Staatswald Burgholz in Solingen (Bergisches Land),7.115176,51.223182,5,Artenzahl,Jahre,Wirbellose,Arthropoden,Arthropoden,16,1978,1984,7,3,Beobachtung,negative to positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
32,Ellwanger2014,NA,Ellwanger,2014,Der nationale Bericht 2013 zu Lebensraumtypen und Arten der FFH-Richtlinie. Ein Überblick über die Ergebnisse,Natur und Landschaft,NA,NA,Maria Sporbert,"Maria Sporbert, Leana Meder",Wald,NA,"atlantisch, kontinental, alpin",Deutschland,NA,"alpin, atlantisch, kontinental",10.279,51.415,700,Abundanz,Zeit,Pflanzen,Moose,Moose,2,2007,2013,7,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10495,Kolbe1981,NA,Kolbe W.,1981,Die Auswirkungen eines Waldbrandes auf die Coleopteren-Fauna in Kiefernforsten um Raum Brüggen,"Jahresbericht des Naturwissenschaftlichen Vereins in Wuppertal, Heft 34, 1981, Seite 25-30",NA,NA,Maria Sporbert,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Nordrhein-Westfalen,Brüggen,6.139139,51.254633,2,Abundanz,NA,Wirbellose,Arthropoden,Arthropoden,NA,1977,1978,2,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10647,Schmidt2001,NA,Schmidt A.,2001,"Die Bestandsentwicklung des Mausohrs, Myotis II/.yotis, in Ostbrandenburg und ihre Widerspiegelungim Fledermauskastenbesatz der Region","Nyctalus (N.F.), Band 7(2001), Heft 6, S. 635-642",NA,NA,NA,Anneka,Wald,NA,Bauwerke,Deutschland,Brandenburg,Brauereikeller Frankfurt/oder,14.4736254,52.37116006,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1988,2001,14,14,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,NA,NA,NA,NA
10496,Pospischil1981,NA,Pospischil R.,1981,Die Entwickung der Käferfauna des Naturschutzgebietes „Im Hölken“ von 1958 bis 1977 und die Bedeutung einiger Käferarten als Bioindikatoren,"Jahresbericht des Naturwissenschaftlichen Vereins in Wuppertal, Heft 34, 1981, Seite 78-91",NA,NA,Maria Sporbert,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Nordrhein-Westfalen,Langenfeld-Beyenburg,7.274309,51.234345,5,Abundanz,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,1958,1977,20,3,Beobachtung,positive,NA,"NSG ""Im Hölken""",NA,NA,NA,Literatur,D,NA,NA,NA
10509,Dorn1985,NA,"Dorn K. , V. Janke",1985,"Die Nematoceren- Familien (Diptera, Nematocera) eines Buchenwaldes und Fichtenforstes im Burgholz",Jahresberichte des Naturwissenschaftlichen Vereins in Wuppertal 38. Heft,NA,NA,Maria Sporbert,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Nordrhein-Westfalen,Staatswald Burgholz in Solingen (Bergisches Land),7.115176,51.223182,5,Artenzahl,Monate,Wirbellose,Arthropoden,Arthropoden,NA,1978,1982,5,4,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
586,Jöbges2006,NA,"Jöbges, M.",2006,"Die Rückkehr des Schwarzstorches Ciconia nigra nach NRW - Habitatansprüche, Bestandsentwicklung, Schutzmaßnahmen",LÖBF-Mitteilungen Nr.2/2006: 14-16,nicht vorhanden,NA,Konrad Adler,Konrad Adler,Wald,NA,NA,Deutschland,NA,NA,10.279,51.415,700,Abundanz,Zet,Wirbeltiere,Voegel,Vögel,1,1950,2003,54,8,Beobachtung,positive,NA,NA,NA,NA,"pdf = gesamte Zeitschrift, Artikel befindet sich auf S.14-16",Literatur,D,NA,NA,NA
587,Jöbges2006,NA,"Jöbges, M.",2006,"Die Rückkehr des Schwarzstorches Ciconia nigra nach NRW - Habitatansprüche, Bestandsentwicklung, Schutzmaßnahmen",LÖBF-Mitteilungen Nr.2/2006: 14-16,nicht vorhanden,NA,Konrad Adler,Konrad Adler,Wald,Laub- und Mischwälder,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Nordrhein-Westfalen,NA,7.564234768,51.47888555,150,Abundanz,Zet,Wirbeltiere,Voegel,Vögel,1,1910,2003,94,7,Beobachtung,positive,NA,NA,NA,NA,"pdf = gesamte Zeitschrift, Artikel befindet sich auf S.14-16",Literatur,D,NA,NA,NA
603,Heinrichs2012,NA,"Heinrichs, S. et al.",2012,"Eisbruch im Buchenwald - Untersuchungen zur Vegetationsdynamik der Naturwaldzelle ""Ochsenberg"" (Eggegebirge/Nordrhein-Westfalen)",Tuexenia 32: 7-29,nicht vorhanden,NA,Konrad Adler,Konrad Adler,Wald,"von einem Eisbruch betroffener ca. 150 Jahre alter Altbuchenwald (natürliche Waldform: Waldmeister-Buchenwald (Galio Fagetum), aktuelle Vegetationsaufnahmen: Waldgersten-Buchenwald mit Bärlauch-Ausprägung (Hordelymo-Fagetum, Allium-Variante))",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Nordrhein-Westfalen,"Naturwaldzelle ""Ochsenberg"" im Eggegebirge (nordöstliches NRW) ca. 2 km nordwestlich von Altenbeken",8.929,51.79,1,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2011,18,2,Beobachtung,positive,NA,NA,NA,NA,"Angabe zum Boden: Kernflächen an den oberen Hangkanten im Übergang zur Plateaulage sehr basenreiche Rendzinen. An Mittel- und Oberhang dominieren geringmächtige, basenreiche Braunerden. Die Unterhänge werden durch tonig-schluffige, mäßig basenhaltige koll",Literatur,D,NA,NA,NA
604,Heinrichs2012,NA,"Heinrichs, S. et al.",2012,"Eisbruch im Buchenwald - Untersuchungen zur Vegetationsdynamik der Naturwaldzelle ""Ochsenberg"" (Eggegebirge/Nordrhein-Westfalen)",Tuexenia 32: 7-29,nicht vorhanden,NA,Konrad Adler,Konrad Adler,Wald,"von einem Eisbruch betroffener ca. 150 Jahre alter Altbuchenwald (natürliche Waldform: Waldmeister-Buchenwald (Galio Fagetum), aktuelle Vegetationsaufnahmen: Waldgersten-Buchenwald mit Bärlauch-Ausprägung (Hordelymo-Fagetum, Allium-Variante))",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Nordrhein-Westfalen,"Naturwaldzelle ""Ochsenberg"" im Eggegebirge (nordöstliches NRW) ca. 2 km nordwestlich von Altenbeken",8.929,51.79,1,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2011,18,2,Beobachtung,negative,NA,NA,NA,NA,"Angabe zum Boden: Kernflächen an den oberen Hangkanten im Übergang zur Plateaulage sehr basenreiche Rendzinen. An Mittel- und Oberhang dominieren geringmächtige, basenreiche Braunerden. Die Unterhänge werden durch tonig-schluffige, mäßig basenhaltige koll",Literatur,D,NA,NA,NA
605,Heinrichs2012,NA,"Heinrichs, S. et al.",2012,"Eisbruch im Buchenwald - Untersuchungen zur Vegetationsdynamik der Naturwaldzelle ""Ochsenberg"" (Eggegebirge/Nordrhein-Westfalen)",Tuexenia 32: 7-29,nicht vorhanden,NA,Konrad Adler,Konrad Adler,Wald,"von einem Eisbruch betroffener ca. 150 Jahre alter Altbuchenwald (natürliche Waldform: Waldmeister-Buchenwald (Galio Fagetum), aktuelle Vegetationsaufnahmen: Waldgersten-Buchenwald mit Bärlauch-Ausprägung (Hordelymo-Fagetum, Allium-Variante))",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Nordrhein-Westfalen,"Naturwaldzelle ""Ochsenberg"" im Eggegebirge (nordöstliches NRW) ca. 2 km nordwestlich von Altenbeken",8.929,51.79,1,Abundanz,Zeit,Pflanzen,Moose,Moose,NA,1994,2011,18,2,Beobachtung,negative,NA,NA,NA,NA,"Angabe zum Boden: Kernflächen an den oberen Hangkanten im Übergang zur Plateaulage sehr basenreiche Rendzinen. An Mittel- und Oberhang dominieren geringmächtige, basenreiche Braunerden. Die Unterhänge werden durch tonig-schluffige, mäßig basenhaltige koll",Literatur,D,NA,NA,NA
606,Heinrichs2012,NA,"Heinrichs, S. et al.",2012,"Eisbruch im Buchenwald - Untersuchungen zur Vegetationsdynamik der Naturwaldzelle ""Ochsenberg"" (Eggegebirge/Nordrhein-Westfalen)",Tuexenia 32: 7-29,nicht vorhanden,NA,Konrad Adler,Konrad Adler,Wald,"von einem Eisbruch betroffener ca. 150 Jahre alter Altbuchenwald (natürliche Waldform: Waldmeister-Buchenwald (Galio Fagetum), aktuelle Vegetationsaufnahmen: Waldgersten-Buchenwald mit Bärlauch-Ausprägung (Hordelymo-Fagetum, Allium-Variante))",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Nordrhein-Westfalen,"Naturwaldzelle ""Ochsenberg"" im Eggegebirge (nordöstliches NRW) ca. 2 km nordwestlich von Altenbeken",8.929,51.79,1,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2011,18,2,Beobachtung,negative,NA,NA,NA,NA,"Angabe zum Boden: Kernflächen an den oberen Hangkanten im Übergang zur Plateaulage sehr basenreiche Rendzinen. An Mittel- und Oberhang dominieren geringmächtige, basenreiche Braunerden. Die Unterhänge werden durch tonig-schluffige, mäßig basenhaltige koll",Literatur,D,NA,NA,NA
10651,vanRiesen2003,NA,"van Riesen J., Dolch D.",2003,"Ergebnisse einel"" Langzeitstudie an einer Reproduktionsgemeinschaft des Braunen Langohrs (Plecotus auritus L., 1758) i n einem Fledermauskastenrevier in Nord-Brandenburg","Nyctalus (N.F.), Band 8(2003), Heft 5, S. 427-435",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,"Landkreis Ostprignitz-Ruppin, Nähe von Krangen",12.91006284,53.00197656,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1987,2000,14,13,Beobachtung,no,NA,NA,NA,NA,NA,Literatur,NA,NA,NA,NA
10652,vanRiesen2003,NA,"van Riesen J., Dolch D.",2003,"Ergebnisse einel"" Langzeitstudie an einer Reproduktionsgemeinschaft des Braunen Langohrs (Plecotus auritus L., 1758) i n einem Fledermauskastenrevier in Nord-Brandenburg","Nyctalus (N.F.), Band 8(2003), Heft 5, S. 427-435",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,"Landkreis Ostprignitz-Ruppin, Nähe von Krangen",12.91028622,53.00185162,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1992,1997,6,5,Beobachtung,positive to negative,NA,NA,NA,NA,NA,Literatur,NA,NA,NA,NA
