N,Key,Bemerkung_Maria,Autor,Jahr,Titel,Zeitschrift,DOI,Name_pdf,ID_Studie,Screener,Extracter,Lebensraum,Lebensraum_Details,Biotoptyp,Land,Bundesland,Ort,ZUS,Grossregion,X,Y,geographische_Genauigkeit_km,Breitengrad_Laengengrad,Boden,Antwortvariable,Antwortvariable_andere,Antwortvariable_Einheit,x_Achse,Hauptgruppe_RoteListen,Untergruppe_RoteListen,Untergruppe_RoteListen_Detail,Untergruppe_Andere,Artname_deutsch,Artname_wissensch,Anzahl_Arten_Gruppen,Startjahr,Endjahr,Dauer,Anzahl_beprobte_Jahre,Methode,ExperimentObservation,Trend,Trend_Info,Potential_Metaanalyse,Beschreibung_Potential,Direkte Treiber,Haupttreiber_1,Haupttreiber_2,Nebentreiber_1,Nebentreiber_2,Direkter Treiber_Details,Maßnahme_Schutzgebiet,Maßnahme_Schutzgebiet_Andere,Maßnahme_Managementmaßnahme,Maßnahme_Impulsmaßnahmen,Notizen,Notizen_Maria,LiteraturRawdata,Studie_in_D,Untergruppe_RoteListen_ORIG,KIBA_D_change
177,ISXUAUFB,non_Sys,"Wilmanns, O. & Bogenrieder, A.",1986,Veränderungen der Buchenwälder des Kaiserstuhls im Laufe von vier Jahrzehnten und ihre Interpretation - pflanzensoziologische Tabellen als Dokumente,Abhandlungen aus dem Westfälischen Museum für Naturkunde,https://www.lwl.org/wmfn-download/Abhandlungen/Abh_48%282+3%291986.pdf,,,Maria Sporbert,Maria Sporbert,Wald,Buchenwälder,,Deutschland,Baden-Württemberg,Kaiserstuhl nordwestlich Freiburg,D53,,7662829587,4810888861,5,,,Artenzahl,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,,Antwortvariable,1948,1985,37,2,Vegetationsaufnahme,Beobachtung,negative,,hoch,Abb. 3: Veränderungen von Mittlerer Artenzahl und Deckung der Strauch- bzw. Krautschichten in den Aufnahmen von Rochow's (1948) und in denen dieser Arbeit.,Andere direkte Treiber,Andere direkte Treiber,,,,"dichterer Kronenschluß,  Erholung degradierter Bestände und Sukzession in Richtung auf naturnähere Verhältnisse",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
178,ISXUAUFB,non_Sys,"Wilmanns, O. & Bogenrieder, A.",1986,Veränderungen der Buchenwälder des Kaiserstuhls im Laufe von vier Jahrzehnten und ihre Interpretation - pflanzensoziologische Tabellen als Dokumente,Abhandlungen aus dem Westfälischen Museum für Naturkunde,https://www.lwl.org/wmfn-download/Abhandlungen/Abh_48%282+3%291986.pdf,,,Maria Sporbert,Maria Sporbert,Wald,Buchenwälder,,Deutschland,Baden-Württemberg,Kaiserstuhl nordwestlich Freiburg,D53,,7662829587,4810888861,5,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,,>20,1948,1985,37,2,Vegetationsaufnahme,Beobachtung,negative,,hoch,Abb. 3: Veränderungen von Mittlerer Artenzahl und Deckung der Strauch- bzw. Krautschichten in den Aufnahmen von Rochow's (1948) und in denen dieser Arbeit.,Andere direkte Treiber,Andere direkte Treiber,,,,"dichterer Kronenschluß,  Erholung degradierter Bestände und Sukzession in Richtung auf naturnähere Verhältnisse",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
181,Janiesch2003,non_Sys,"Janiesch, P.",2003,Vegetationsökologische Untersuchungen in einem Erlenbruchwald im nördlichen Münsterland - 25 Jahre im Vergleich,Abhandlungen aus dem Westfälischen Museum für Naturkunde,https://www.lwl.org/wmfn-download/Abhandlungen/Abh_65%281+2%292003.pdf,,,Maria Sporbert,Maria Sporbert,Wald,"Erlenbruchwald in Agrarlandschaft, früher Niedermoorböden",,Deutschland,Nordrhein-Westfalen,nördliches Münsterland,D36,,7710806119,5224581907,20,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,,21,1977,2002,25,2,Vegetationsaufnahme,Beobachtung,negative,Alle typischen Bruchwaldarten sind verschwunden. Neben Alnus glutinosa bildet heute Fraxinus excelsior einen dichten Bestand.,hoch,"Tab. l : Vegetationszusammensetzung an drei Probestellen eines Erlenbruchwaldes im Vergleich




der Jahre 1977 und 2002","Veränderung der Struktur der Landschaft, Veränderte Land-/Meeresnutzung",Veränderung der Struktur der Landschaft,Veränderte Land-/Meeresnutzung,,,"fortschreitende Dränierung, verbunden mit einer hohen Stickstoffmineralisationsrate, Verlandung, Austrocknung",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
183,2CCR6MBI,korr; non_Sys,Laussmann,2010,150 Jahre Schmetterlingsbeobachtung in Wuppertal – Auswirkungen von Klima- und Landschaftsveränderungen (Lepidoptera),Entomologische Zeitschrift 6/2010,https://www.naturwissenschaftlicher-verein-wuppertal.de/sektionen/Entomologie/downloads/ez6-2010_269-277-Laussmann-kl.pdf,,,Maria Sporbert,Maria Sporbert,Wald,"25 Biotope: Offenland, Agrarland, Wald, Moore, Siedlungen, Feuchtgebiete","25 Biotope: Offenland, Agrarland, Wald, Moore, Siedlungen, Feuchtgebiete",Deutschland,Nordrhein-Westfalen,Raum Wuppertal,D38,,716308377,5125865364,20,,,Abundanz,,"Einteilung in Häufigkeitsklassen (um 1870, 1920-1990, 1990-2009, ab 2009)",Zeit,Wirbellose,Arthropoden,Arthropoden,,,,736,1920,2009,89,3,Einteilung in Entwickungskategorien (Trends),Beobachtung,negative,"Arten trockener Wälder, Gebüsche und Säume in der Häufigkeit abgenommen haben, auch in Hochmooren, Niedermooren, Fecuhtheiden, Trockenheiden, Kalk-Halbtrockenrasen. andere Biotopformen weniger von dem Artenrückgang betroffen,




hierzu zählen in erster Linie",hoch,Extra Excel-Tabelle mit allen Angaben,"Veränderung der Struktur der Landschaft, Klimawandel",Veränderung der Struktur der Landschaft,Klimawandel,,,"Veränderung der Landschaft (negativ: Verlust Saumstrukturen und Gebüschlandschaften, Monokultur in Wäldern, Privatgärten weniger Nektarpflanzen, positiv:neue Brachen, neue Waldflächen), Parasiten, Klimaveränderungen teils positive Auswirkung für wärmelieb",,,,,umfangreicher Artikel mit Diskussion einzelner Arten:  https://www.naturwissenschaftlicher-verein-wuppertal.de/sektionen/Entomologie/downloads/Art3%20NVW%20Schmetterlinge%2061%20%20%2031-100%20%2011.09.pdf,"Startjahr korrigiert, Messzeitpunkte korrigiert",Literatur,D,Tagfalter,
184,DBBW2020,non_Sys,DBBW (Dokumentations- und Beratungsstelle des Bundes zum Thema Wolf),2020,Wölfe in Deutschland - Statusbericht 2019/2020,Dokumentations- und Beratungsstelle des Bundes zum Thema Wolf,,,,Maria Sporbert,Maria Sporbert,Wald,,,Deutschland,,,D36,,10279,51415,700,,,Abundanz,,Paare und Rudel,Zeit,Wirbeltiere,Säuger,Säuger,,Wolf,,1,2000,2020,20,20,Anzahl Paare und Rudel,,positive,,hoch,Abb. 5: Bestandsentwicklung des Wolfes in Deutschland von 2000 bis 2019. Stand: Oktober 2020.,Andere direkte Treiber,Andere direkte Treiber,,,,in den 1980er Jahren unter Schutz gestellt,,,,,,,Literatur,D,Säugetiere,
185,RWTG29QA,non_Sys,Görner,1973,"Zur Verbreitung, Bestandessituation und zum Schutz des Uhus (Bubo b. bubo L.) in Thüringen",Archiv Naturschutz und Landschaftsforschung,,Görner_1973.pdf,,Charlotta Wiechmann,Charlotta Wiechmann,Wald,,,Deutschland,Thüringen,Boden an Steil-/Felshängen,D18,,1102802265,5090446983,100,,,Abundanz,,,Zeit,Wirbeltiere,Vögel,Vögel,,Uhu,,1,1925,1959,34,2,Zusammentragung von Sichtungen+Horstplätzen,Beobachtung,negative,,gering,"nur Fließtext bzw. Angaben zu einzelnen Horsten, Trendangabe nutzbar",Direkte Ressourcenentnahme,Direkte Ressourcenentnahme,,,,"Abschuss, Störungen (Mensch)",,,,,,,Literatur,D,Vögel,
186,MKP7UEDZ,non_Sys,Großer,2004,"Die waldkundliche Situation des Naturschutzgebietes ""Eichberg"" bei Weißwasser vor dessen Devastation durch einen Tagebau",Archiv Naturschutz und Landschaftsforschung,,Großer_2004.pdf,,Charlotta Wiechmann,Charlotta Wiechmann,Wald,,,Deutschland,Sachsen,"Oberlausitz bei Weißwasser,NSG ""Eichberg""",D08,,1464872989,5149792627,20,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,,>20,1952,2002,50,2,Vegetationsaufnahmen,Beobachtung,no,,gering,Tab. 7 Vegetationsaufnahmen. Vergleich 1952/2002.,Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,"1961-2002 NSG, Aufgabe des NSG als Folge von Braunkohle-Tagebau, Waldbrände",Andere,NSG Eichberg,,,,,Literatur,D,Farn- und Blütenpflanzen,
190,95UQZX4E,non_Sys,Henkel,1976,Zur Dynamik der Kahlschlagvegetation auf Gr0ßschadfläschen im Gebiet Oberhof/Thüringen,Archiv Naturschutz und Landschaftsforschung,,Henkel_1976.pdf,,Charlotta Wiechmann,Charlotta Wiechmann,Wald,,,Deutschland,Thüringen,Oberhof - Zella-Mehlis - Suhl,D48,,1069109815,5067956112,10,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,6 Kahlschlaggesellschaften,,,,1949,1969,20,2,Pflanzengesellschaften,Beobachtung,no,,gering,nur Info im Text,Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,z.T. Bewirtschaftung,,,,,,,Literatur,D,Farn- und Blütenpflanzen,
199,QF4A8CV2,non_Sys,Schauer,1972,Ergebnisse waldkundlicher Untersuchungen aus den Naturschutzgebieten Großer und Kleiner Hakel,Archiv Naturschutz und Landschaftsforschung,,Schauer_1972.pdf,,Charlotta Wiechmann,Charlotta Wiechmann,Wald,,,Deutschland,Sachsen-Anhalt,"Nördliches Harzvorland, NSG Hakel",D33,,1066522348,518865527,10,,,Artenzahl,,,Zeit,Pflanzen,Pflanzen,Pflanzen,Bäume,,,Antwortvariable,1961,1967,6,2,Baumartenanteile an der Fläche+Flächenanteile nach Alter,Beobachtung,no,"keine Angaben zu einzelnen Arten, nur als Nadelholz betrachtet",gering,Abb. 1: Baumartenanteil in versch. Standorten,Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,,Andere,NSG Großer und Kleiner Hakel,,,,,Literatur,D,Farn- und Blütenpflanzen,
203,Schmidt2015,non_Sys,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,,Schmidt_2015.pdf,,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,,,Deutschland,Niedersachsen,Göttingen,D36,,9908415007,5153834411,10,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,Kalkbuchenwald,,,>20,1955,2012,57,2,Vegetationsaufnahmen von 1955 bis 2012 + Vegetationszusammensetzung + Varianzanalyse,Beobachtung,positive,"Zunahme Strauchschicht, Krautschicht, Moosschicht, leichte Abnahme Baumschicht",hoch,"Abb. 1 Mittlere Deckungsgrade (± Standardfehler) der Vegetationsschichten im Hordelymo-Fagetum lathyretosum




im Vergleich alter (1955/67) und neuer (2000/12) Vegetationsaufnahmen, Tab. 4 Stetigkeiten (S in %) und mittlere Deckungsgrade (mD° in %) der Arten",Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,"Reduktion saurer Schwefel-Deposition durch Filtersysteme und Schließung emittierender Industrien in Ostdeutschland--> calcicole Arten im Deckungsgrad angestiegen, Ende der Bewirtschaftung",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
204,Schmidt2015,non_Sys,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,,Schmidt_2015.pdf,,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,,,Deutschland,Niedersachsen,Göttingen,D36,,9908415007,5153834411,10,,,Artenzahl,,,Zeit,Pflanzen,Pflanzen,Pflanzen,Kalkbuchenwald,,,Antwortvariable,1955,2012,57,2,Vegetationsaufnahmen von 1955 bis 2012 + Vegetationszusammensetzung + Varianzanalyse,Beobachtung,negative,"Strukturell hat vor allem die Strauchschicht stark zugenommen, insbesondere bedingt durch eine




Intensivierung der Rehwild-Bejagung. In der Bodenvegetation haben neben den Gehölzen vor allem




schattentolerante, eutraphente Arten zugenommen, während die Arte",hoch,"Tab. 2 Diversitätsmerkmale des Hordelymo-Fagetum lathyretosum im Vergleich alter (1955/67) und neuer




(2000/12) Vegetationsaufnahmen sowie von Aufnahmen aus Wirtschafts(WW)- und Nichtwirtschaftswäldern




(NW) aus dem Göttinger Wald. Angegeben sind Mittelwert",Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,"Reduktion saurer Schwefel-Deposition durch Filtersysteme und Schließung emittierender Industrien in Ostdeutschland--> calcicole Arten im Deckungsgrad angestiegen, Ende der Bewirtschaftung",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
205,Schmidt2015,non_Sys,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,,Schmidt_2015.pdf,,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,,,Deutschland,Niedersachsen,Göttingen,D36,,9908415007,5153834411,10,,,ENS,,,Zeit,Pflanzen,Pflanzen,Pflanzen,Kalkbuchenwald,,,>20,1955,2012,57,2,Vegetationsaufnahmen von 1955 bis 2012 + Vegetationszusammensetzung + Varianzanalyse,Beobachtung,negative,"Strukturell hat vor allem die Strauchschicht stark zugenommen, insbesondere bedingt durch eine




Intensivierung der Rehwild-Bejagung. In der Bodenvegetation haben neben den Gehölzen vor allem




schattentolerante, eutraphente Arten zugenommen, während die Arte",hoch,"Tab. 2 Diversitätsmerkmale des Hordelymo-Fagetum lathyretosum im Vergleich alter (1955/67) und neuer




(2000/12) Vegetationsaufnahmen sowie von Aufnahmen aus Wirtschafts(WW)- und Nichtwirtschaftswäldern




(NW) aus dem Göttinger Wald. Angegeben sind Mittelwert",Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,"Reduktion saurer Schwefel-Deposition durch Filtersysteme und Schließung emittierender Industrien in Ostdeutschland--> calcicole Arten im Deckungsgrad angestiegen, Ende der Bewirtschaftung",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
206,Schmidt2015,non_Sys,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,,Schmidt_2015.pdf,,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,,,Deutschland,Niedersachsen,Göttingen,D36,,9908415007,5153834411,10,,,ENS,,,Zeit,Pflanzen,Pflanzen,Pflanzen,Kalkbuchenwald,,,>20,1955,2012,57,2,Vegetationsaufnahmen von 1955 bis 2012 + Vegetationszusammensetzung + Varianzanalyse,Beobachtung,negative,"Strukturell hat vor allem die Strauchschicht stark zugenommen, insbesondere bedingt durch eine




Intensivierung der Rehwild-Bejagung. In der Bodenvegetation haben neben den Gehölzen vor allem




schattentolerante, eutraphente Arten zugenommen, während die Arte",hoch,"Tab. 2 Diversitätsmerkmale des Hordelymo-Fagetum lathyretosum im Vergleich alter (1955/67) und neuer




(2000/12) Vegetationsaufnahmen sowie von Aufnahmen aus Wirtschafts(WW)- und Nichtwirtschaftswäldern




(NW) aus dem Göttinger Wald. Angegeben sind Mittelwert",Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,"Reduktion saurer Schwefel-Deposition durch Filtersysteme und Schließung emittierender Industrien in Ostdeutschland--> calcicole Arten im Deckungsgrad angestiegen, Ende der Bewirtschaftung",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
206,Schmidt2015,non_Sys,Schmidt,2015,Umwelt- und Nutzungswandel im Kalkbuchenwald (Hordelymo-Fagetum lathyrestosum)- Ein Vergleich alter und neuer Vegetationsaufnahmen aus dem Göttinger Wald,Hercynia,,Schmidt_2015.pdf,,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,,,Deutschland,Niedersachsen,Göttingen,D36,,9908415007,5153834411,10,,,Artenzahl,,,Zeit,Pflanzen,Pflanzen,Pflanzen,Moose und Flechten/Moosschicht,,,Antwortvariable,1955,2012,57,2,Vegetationsaufnahmen von 1955 bis 2012 + Vegetationszusammensetzung + Varianzanalyse,Beobachtung,positive,"Strukturell hat vor allem die Strauchschicht stark zugenommen, insbesondere bedingt durch eine




Intensivierung der Rehwild-Bejagung. In der Bodenvegetation haben neben den Gehölzen vor allem




schattentolerante, eutraphente Arten zugenommen, während die Arte",hoch,"Tab. 2 Diversitätsmerkmale des Hordelymo-Fagetum lathyretosum im Vergleich alter (1955/67) und neuer




(2000/12) Vegetationsaufnahmen sowie von Aufnahmen aus Wirtschafts(WW)- und Nichtwirtschaftswäldern




(NW) aus dem Göttinger Wald. Angegeben sind Mittelwert",Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,"Reduktion saurer Schwefel-Deposition durch Filtersysteme und Schließung emittierender Industrien in Ostdeutschland--> calcicole Arten im Deckungsgrad angestiegen, Ende der Bewirtschaftung",,,,,,,Literatur,D,Farn- und Blütenpflanzen,corrected
