Ja,authors,title,journal,abstract,year,doi,Quelle,Themenkomplex,ÖSL,Biodiv-Facette,Einfluss,Methode,Notiz zum Vote Count,Ort,Ort Details,Lebensraum,Art(en),Ökologische Einheit,Artengruppe,ESGroup,Boden?,Lebensraum_Gruppiert,CICES-Bereich,CICES-Gruppe,CICES-Klasse,CICES-Code,Bereich-Kurz,Klasse kurz
Ja,"Zeller, L. et al.","Tree species richness enhances stand productivity while stand structure can have opposite effects, based on forest inventory data from Germany and the United States of America",Forest Ecosystems (2018) 5:4,"Background: In recent studies, mixed forests were found to be more productive than monocultures with everything else remaining the same. Methods: To find out if this productivity is caused by tree species richness, by a more heterogeneous stand structure or both, we analyzed the effects of forest structure and tree species richness on stand productivity, based on inventory data of temperate forests in the United States of America and Germany. Results: Having accounted for effects such as tree size and stand density, we found that: (I) tree species richness increased stand productivity in both countries while the effect of tree size heterogeneity on productivity was negative in Germany but positive in the USA; (II) productivity was highest at sites with an intermediate amount of precipitation; and (III) growth limitations due water scarcity or low temperature may enhance structural heterogeneity. Conclusions: In the context of forest ecosystem goods and services, as well as future sustainable forest resource management, the associated implications would be: Tree species richness is vital for maintaining forest productivity. As an optimum amount of precipitation is accompanied by the highest productivity, changes in climatic conditions should be considered when planning. Resource limitations enhance structural heterogeneity, which in turn can have positive or negative effects on stand productivity. Furthermore, we discuss the difficulties encountered when analyzing different national forest inventories and large data sets.",2018,10.1186/s40663-017-0127-6,Review Wald,Kohlenstoffkreislauf,Biomasseproduktion,Strukturelle Diversität,neg,Feld,,Deutschland,,Wald,,,,Biomasseproduktion,,Wald,Biomasse,,,1.1,Biomasse,
Ja,"Zeller, L. et al",Effect of forest structure on stand productivity in Central European forests depends on developmental stage and tree species diversity,Forest Ecology and Management 434 193–204,"Recently, many studies have found positive biodiversity-productivity relationships in forests. In contrast, different types of correlations have been identified in the analyses of tree diversity-structure-productivity relationships. We suspect that these conflicting conclusions might result from the different developmental stages of the investigated forest stands. We therefore analyzed the development of tree diversity-structure-productivity relationships at the stand level and individual tree level in 192 long-term experimental plots in Central Europe. As a measure of stand productivity, we analyzed stand volume growth (m(3) ha(-1) year(-1)). Tree species diversity was quantified by the Shannon index and structural heterogeneity was represented by the Gini coefficient of basal area. For a more detailed analysis at the tree level using a smaller portion of the dataset, the tree position-dependent indices, diameter differentiation index, and aggregation index were used. Whether the effect of structural heterogeneity on stand productivity was positive or negative depended on the stand development stage. In early developmental stages, high structural heterogeneity lowered productivity. In later developmental stages, however, stand structural heterogeneity had a positive effect on productivity. Our study might provide insights regarding the mechanisms underlying the contradictory findings obtained in recent studies dealing with tree diversity-structure-productivity relationships. This knowledge is vital for the adaptation of forest management to meet future demands on forest ecosystems.",2019,10.1016/j.foreco.2018.12.024,Review Wald,Kohlenstoffkreislauf,Biomasseproduktion,Strukturelle Diversität,nicht linear,Feld,,Mitteleuropa,,Wald,,,,Biomasseproduktion,,Wald,Biomasse,,,1.1,Biomasse,
Ja,"Dahlhausen, J, Rotzer, T, Biber, P, Uhl, E, Pretzsch, H",Urban climate modifies tree growth in Berlin,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,"Climate, e.g., air temperature and precipitation, differs strongly between urban and peripheral areas, which causes diverse life conditions for trees. In order to compare tree growth, we sampled in total 252 small-leaved lime trees (Tilia cordata Mill) in the city of Berlin along a gradient from the city center to the surroundings. By means of increment cores, we are able to trace back their growth for the last 50 to 100 years. A general growth trend can be shown by comparing recent basal area growth with estimates from extrapolating a growth function that had been fitted with growth data from earlier years. Estimating a linear model, we show that air temperature and precipitation significantly influence tree growth within the last 20 years. Under consideration of housing density, the results reveal that higher air temperature and less precipitation led to higher growth rates in high-dense areas, but not in low-dense areas. In addition, our data reveal a significantly higher variance of the ring width index in areas with medium housing density compared to low housing density, but no temporal trend. Transferring the results to forest stands, climate change is expected to lead to higher tree growth rates.",2018,10.1007/s00484-017-1481-3,Gesamtreview,Kohlenstoffkreislauf,Biomasseproduktion,Strukturelle Diversität,pos,Feld,Wachstum Linde in urban vs. ruralen Raum,Deutschland,Berlin,Urbane Räume,Linde,Baum,Bäume,Biomasseproduktion,,Urbane Räume,Biomasse,,,1.1,Biomasse,
Ja,Danescu A. et al.,"Structural diversity promotes productivity of mixed, uneven-aged forests in southwestern Germany",Oecologia,"Forest diversity-productivity relationships have been intensively investigated in recent decades. However, few studies have considered the interplay between species and structural diversity in driving productivity. We analyzed these factors using data from 52 permanent plots in southwestern Germany with more than 53,000 repeated tree measurements. We used basal area increment as a proxy for productivity and hypothesized that: (1) structural diversity would increase tree and stand productivity, (2) diversity-productivity relationships would be weaker for species diversity than for structural diversity, and (3) species diversity would also indirectly impact stand productivity via changes in size structure. We measured diversity using distance-independent indices. We fitted separate linear mixed-effects models for fir, spruce and beech at the tree level, whereas at the stand level we pooled all available data. We tested our third hypothesis using structural equation modeling. Structural and species diversity acted as direct and independent drivers of stand productivity, with structural diversity being a slightly better predictor. Structural diversity, but not species diversity, had a significant, albeit asymmetric, effect on tree productivity. The functioning of structurally diverse, mixed forests is influenced by both structural and species diversity. These sources of trait diversity contribute to increased vertical stratification and crown plasticity, which in turn diminish competitive interferences and lead to more densely packed canopies per unit area. Our research highlights the positive effects of species diversity and structural diversity on forest productivity and ecosystem dynamics.",2016,10.1007/s00442-016-3623-4,Review Wald,Kohlenstoffkreislauf,Biomasseproduktion,Strukturelle Diversität,pos,Feld,,Deutschland,Südwestdeutschland,Wald,,Bestand,,Biomasseproduktion,,Wald,Biomasse,,,1.1,Biomasse,
Ja,"Glatthorn, J, Feldmann, E, Pichler, V, Hauck, M, Leuschner, C",Biomass Stock and Productivity of Primeval and Production Beech Forests: Greater Canopy Structural Diversity Promotes Productivity,ECOSYSTEMS,"Our knowledge of temperate broadleaf forest ecology is based mostly on the study of production forests, which lack the terminal stage of forest development and have a simpler stand structure than old-growth and primeval forests. How primeval and production forests differ in net primary production (NPP) is not well known. In three primeval and three nearby production forests of European beech (Fagus sylvatica) in the Slovakian Carpathians, we measured aboveground biomass stocks (live and dead), aboveground NPP (ANPP) and parameters characterizing canopy structural diversity (leaf area index and its spatial variation). Our study aims were (1) to explore the role of canopy structural diversity for ANPP and (2) to assess evidence of a productivity decline in the terminal stage. While aboveground live biomass stocks were on average 20% greater in the primeval forests (386 vs. 320 Mg ha(-1); insignificant difference at two sites), deadwood mass stocks were on average four times larger than in the production forests (86 vs. 19 Mg ha(-1)). ANPP was similarly high in the primeval and production forests (10.0 vs. 9.9 Mg ha(-1) y(-1)) and did not decrease towards the terminal stage. Production models indicate that, in the primeval forests, about 10% of ANPP (ca. 1 Mg ha(-1) y(-1)) was generated by effects related to leaf area heterogeneity, evidencing a positive effect of structural diversity on forest productivity, even though species diversity was low. This study helps to better understand the impact of forest management on the productivity and carbon storage in temperate woodlands.",2018,10.1007/s10021-017-0179-z,Gesamtreview,Kohlenstoffkreislauf,Biomasseproduktion,Strukturelle Diversität,pos,Feld,Urwald/ alter Primärwald vs. bewirtschafteter Wald,Slowenien,Westkarpaten,Wald,Buche,Bestand,,Biomasseproduktion,,Wald,Biomasse,,,1.1,Biomasse,
Ja,"Stimm, K. et al.",Height growth-related competitiveness of oak (Quercus petraea (Matt.) Liebl. and Quercus robur L.) under climate change in Central Europe. Is silvicultural assistance still required in mixed-species stands?,Forest Ecology and Management 482 (2021) 118780,"Sessile oak (Quercus petraea (Matt.) Liebl.) and pedunculate oak (Quercus robur L.) play an important role in increasing the resistance of central European forests to severe droughts. But outside their real niche the competitiveness of both oak species can be low in mixed-species stands. This paper examines the height growth of oaks depending on environmental conditions and inter-specific competition. Height growth of trees was analysed using data from forest inventories covering monospecific and mixed-species stands within the German federal state of Bavaria. By means of regression analyses of 23,607 height measurements, we found that site conditions and stand structure have strong effects on the height growth of oak. Summer temperature, water balance in the vegetation period and base saturation were the main explanatory site variables. The first positive effect of summer temperature had no influence at warmer sites with mean summer temperatures above 16.4 degrees C, while the effect of water balance was positively linear. In addition, stand density modified the height growth of oak in a mainly positive manner. Vertical structure also had a positive effect, which was found for most species compositions, except monospecific stands and oak-hornbeam mixture. In most mixtures, oaks height growth seemed to be less climate-sensitive compared to monocultures. A currently warmer and drier climate seemed to favour the height growth superiority of European beech, whereas it decreased the superiority of Scots pine. The results indicated that even if the climate changes as predicted, the growth of oak will depend upon silvicultural promotion. Our findings can be used to improve regional guidelines for oak silviculture with special regard to climate-sensitive height growth. For example, a regionally delayed introduction of admixed species can reduce silvicultural treatments by ensuring oak vitality in mixed forests at the same time.",2021,10.1016/j.foreco.2020.118780,Review Wald,Kohlenstoffkreislauf,Biomasseproduktion,Strukturelle Diversität,pos,Feld,,Deutschland,Bayern,Wald,Eiche,Bestand,Bäume,Biomasseproduktion,,Wald,Biomasse,,,1.1,Biomasse,
Ja,"Dolt, C., M. Goverde, and B. Baur",Effects of experimental small-scale habitat fragmentation on above- and below-ground plant biomass in calcareous grasslands,Acta Oecologica,"The effect of small-scale fragmentation on the above-ground plant biomass was examined in nutrient-poor calcareous grasslands in the northern Swiss Jura mountains in three successive years. In the same field experiment, the fragmentation effect on the below-ground plant biomass was evaluated in 1:year. Additionally, species richness and abundance of plants were recorded. The experimental set-up consisted of 12 blocks with 48 fragments (24 small, 12 medium and 12 large) and 48 corresponding control plots distributed over three study sites. Fragmentation was maintained by frequently mowing the area between the fragments. Three to 5:years after the beginning of the experiment, plant biomass was harvested in all fragments and control plots in late autumn every year. In general, fragments contained more above- and below-ground plant biomass than control plots. The increase in above-ground plant biomass was partly due to an increased density of plants, and partly due to a change in species composition in fragments. In particular, a competitive shift of dominance towards tall grasses and forbs at the expense of smaller forbs was observed. Beside the main fragmentation effect on above-ground plant biomass, interactive effects with year of investigation, study site and plot size were found. This indicates that the observed fragmentation effect is a combined result of various factors acting to a different extent at different sites and plot sizes. The fragmentation-related increase in plant productivity could affect higher trophic levels such as herbivore and predator communities. © 2004 Elsevier SAS. All rights reserved.",2005,10.1016/j.actao.2004.09.002,Agrar-Kapitel,Kohlenstoffkreislauf,Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel (1.1.1.1),Artenvielfalt,neg,Feld,,,,Grasland,Forbs,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Daßler, A., C. Roscher, V. M. Temperton, J. Schumacher, and E.-D. Schulze",Adaptive survival mechanisms and growth limitations of small-stature herb species across a plant diversity gradient,Plant Biology,"Several biodiversity experiments have shown positive effects of species richness on aboveground biomass production, but highly variable responses of individual species. The well-known fact that the competitive ability of plant species depends on size differences among species, raises the question of effects of community species richness on small-stature subordinate species. We used experimental grasslands differing in species richness (1-60 species) and functional group richness (one to four functional groups) to study biodiversity effects on biomass production and ecophysiological traits of five small-stature herbs (Bellis perennis, Plantago media, Glechoma hederacea, Ranunculus repens and Veronica chamaedrys). We found that ecophysiological adaptations, known as typical shade-tolerance strategies, played an important role with increasing species richness and in relation to a decrease in transmitted light. Specific leaf area and leaf area ratio increased, while area-based leaf nitrogen decreased with increasing community species richness. Community species richness did not affect daily leaf carbohydrate turnover of V. chamaedrys and P. media indicating that these species maintained efficiency of photosynthesis even in low-light environments. This suggests an important possible mechanism of complementarity in such grasslands, whereby smaller species contribute to a better overall efficiency of light use. Nevertheless, these species rarely contributed a large proportion to community biomass production or achieved higher yields in mixtures than expected from monocultures. It seems likely that the allocation to aboveground plant organs to optimise carbon assimilation limited the investment in belowground organs to acquire nutrients and thus hindered these species from increasing their performance in multi-species mixtures. © 2008 German Botanical Society and The Royal Botanical Society of the Netherlands.",2008,10.1111/j.1438-8677.2008.00073.x,Agrar-Kapitel,Kohlenstoffkreislauf,Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel (1.1.1.1),Artenvielfalt,neg,Feld,,,,Ackerflächen,Pflanzen,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Feßel, C., I. C. Meier, and C. Leuschner. ","Relationship between species diversity, biomass and light transmittance in temperate semi-natural grasslands: Is productivity enhanced by complementary light capture?",Journal of Vegetation Science,"Question: A positive plant diversity-above-ground productivity relationship is often demonstrated in synthetic grassland stands established for functional biodiversity research, but this relationship is rarely found along diversity gradients in natural and semi-natural grasslands. One of the key mechanisms proposed to cause a positive species diversity-above-ground productivity relationship is increased complementarity in resource use. Using light transmittance to the ground as a measure of resource use intensity in semi-natural grasslands, we tested the hypothesis that peak above-ground biomass (as a proxy for productivity) increases and light transmittance decreases with increasing species richness, which would reflect higher complementarity in light capture. Location: Semi-natural temperate grasslands in Lower Saxony, Germany. Methods: We investigated 31 grasslands with variable species richness on three different geological substrates (greywacke, limestone and sandstone) at two spatial scales (sub-regional and regional). Results: Structural equation modelling (SEM) and generalized linear models (GLM) revealed that species richness (5-22 species · 0.09 m-2) was negatively related to above-ground biomass (AGB; 200-1350 g·m-2) and sward cover. The most influential determinant of AGB at the regional scale was temperature. Light transmittance was determined by sward cover, the cover of competitive species and AGB at the regional, and in part also at the sub-regional level. We found no evidence for increased light capture complementarity with higher species richness. Conclusion: This suggests that competitive exclusion, but not complementarity in above-ground resource use, mediates above-ground productivity in species-rich plant assemblages. © International Association for Vegetation Science.",2016,10.1111/jvs.12326,Agrar-Kapitel,Kohlenstoffkreislauf,Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel (1.1.1.1),Artenvielfalt,neg,Feld,,,,Grasland,Pflanzen,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Dolt, C., M. Goverde, and B. Baur",Effects of experimental small-scale habitat fragmentation on above- and below-ground plant biomass in calcareous grasslands,Acta Oecologica,"The effect of small-scale fragmentation on the above-ground plant biomass was examined in nutrient-poor calcareous grasslands in the northern Swiss Jura mountains in three successive years. In the same field experiment, the fragmentation effect on the below-ground plant biomass was evaluated in 1:year. Additionally, species richness and abundance of plants were recorded. The experimental set-up consisted of 12 blocks with 48 fragments (24 small, 12 medium and 12 large) and 48 corresponding control plots distributed over three study sites. Fragmentation was maintained by frequently mowing the area between the fragments. Three to 5:years after the beginning of the experiment, plant biomass was harvested in all fragments and control plots in late autumn every year. In general, fragments contained more above- and below-ground plant biomass than control plots. The increase in above-ground plant biomass was partly due to an increased density of plants, and partly due to a change in species composition in fragments. In particular, a competitive shift of dominance towards tall grasses and forbs at the expense of smaller forbs was observed. Beside the main fragmentation effect on above-ground plant biomass, interactive effects with year of investigation, study site and plot size were found. This indicates that the observed fragmentation effect is a combined result of various factors acting to a different extent at different sites and plot sizes. The fragmentation-related increase in plant productivity could affect higher trophic levels such as herbivore and predator communities. © 2004 Elsevier SAS. All rights reserved.",2005,10.1016/j.actao.2004.09.003,Agrar-Kapitel,Kohlenstoffkreislauf,Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel (1.1.1.1),Artenvielfalt,neu,Feld,,,,Grasland,Gräser,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,Brun et al.,The productivity-biodiversity relationship varies across diversity dimensions,Nature Communications,"Understanding the processes that drive the dramatic changes in biodiversity along the productivity gradient remains a major challenge. Insight from simple, bivariate relationships so far has been limited. We combined >11,000 community plots in the French Alps with a molecular phylogeny and trait information for >1200 plant species to simultaneously investigate the relationships between all major biodiversity dimensions and satellite-sensed productivity. Using an approach that tests for differential effects of species dominance, species similarity and the interplay between phylogeny and traits, we demonstrate that unimodal productivity–biodiversity relationships only dominate for taxonomic diversity. In forests, trait and phylogenetic diversity typically increase with productivity, while in grasslands, relationships shift from unimodal to declining with greater land-use intensity. High productivity may increase trait/phylogenetic diversity in ecosystems with few external constraints (forests) by promoting complementary strategies, but under external constraints (managed grasslands) successful strategies are similar and thus the best competitors may be selected.",2019,10.1038/s41467-019-13678-1,Agrar-Kapitel,Kohlenstoffkreislauf,Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel (1.1.1.1),Artenvielfalt,nicht linear,Feld,,,,Grasland,Pflanzen,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Egli, L, Schroter, M, Scherber, C, Tscharntke, T, Seppelt, R",Crop diversity effects on temporal agricultural production stability across European regions,REGIONAL ENVIRONMENTAL CHANGE,"Stabilizing agricultural production is fundamental to food security. At the national level, increasing the effective diversity of cultivated crops has been found to increase temporal production stability, i.e., the year-to-year stability of total caloric production of all crops combined. Here, we specifically investigated these effects at the regional level for the European Union and tested the effect of crop diversity in relation to agricultural inputs, soil properties, climate instability, and time on caloric, protein, and fat stability, as we hypothesized that the effect of diversity is context dependent. We further investigated these relationships for specific countries. We found that greater crop diversity was consistently associated with an increase in production stability, particularly in regions with large areas equipped for irrigation and low soil type diversity. For instance, in Spain and Italy, crop diversity showed the strongest positive effect among all predictors, while on the European level, the stabilizing effect of nitrogen use was substantially higher. In Germany, the crop diversity-stability relationship was weak, suggesting that crops react similarly to climatic, economic, and political factors or are grown in the same periods. With this study, we substantiate previous findings that crop diversity stabilizes agricultural caloric production and extend these with regard to protein and fat. The results elucidate the key drivers that enhance production stability for different European countries and regions, which is of key importance for a comparably productive agricultural region like Europe.",2021,10.1007/s10113-021-01832-9,Gesamtreview,Kohlenstoffkreislauf,Biomasseproduktion,Artenvielfalt,pos,Feld,Nutzpflanzendiversität auf Biomassebildung bei verschiedenen Umweltfaktoren,Europa,,Agrar,,Bestand,Pflanzen,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Bischoff, A., Auge, H., Mahn, E.G.",Seasonal changes in the relationship between plant species richness and community biomass in early succession,Basic and Applied Ecology,"We analysed the relationship between plant species richness and productivity on first-year-old fields at two similar sites in central Europe. At both sites, a wide range of productivity levels was available resulting from different long-term fertilisation. In order to identify underlying mechanisms of the species richness-productivity relationship we included the seasonal dynamics and the number of individuals of each species in our analysis. We sampled 10 and 21 plots, respectively, at the two sites in May, June and July by harvesting all aboveground parts of vascular plants in 0.25 m(2) subplots. Species richness, number of individuals of each species and community biomass as a surrogate of productivity were recorded in each sample. At one site, the relationship between species richness and biomass was significantly positive in the May and June harvest. This relationship disappeared in the July harvest due to a reduction in species richness at high productivity levels. The relations between species richness and number of individuals and between number of individuals and biomass paralleled the species richness-productivity relation but the individual number-biomass relationship remained positive until the last harvest. Between-species differences in individual number-community biomass relationships and their seasonal dynamics revealed ""interspecific competitive exclusion"" even though the species richness-biomass relationships were not negative or hump-shaped. At the second site, species richness was not related to productivity or to number of individuals. Our study demonstrated the importance of temporal dynamics and regional processes in understanding species richness-productivity patterns. (c) 2005 Gesellschaft fur Okologie. Published by Elsevier GmbH. All rights reserved.",2005,10.1016/j.baae.2005.03.003,Agrar-Kapitel,Kohlenstoffkreislauf,Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel (1.1.1.1),Artenvielfalt,pos,Feld,,,,Ackerflächen,Pflanzen,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Elhakeem, A, Bastiaans, L, Houben, S, Couwenberg, T, Makowski, D, van der Werf, W",Do cover crop mixtures give higher and more stable yields than pure stands?,FIELD CROPS RESEARCH,"Planting cover crops after harvest of the main crop has become a key practice in temperate agriculture to reduce N leaching and increase soil organic matter. However, the growth of cover crops can be affected by adverse weather. Growing mixtures is thought to increase yield and reduce variation in productivity, but quantitative information on this subject is limited. Moreover, uncertainty remains on the optimal choice of species and mixture composition for cover cropping to obtain high cover crop yields and resilient performance under different conditions. Here we tested a broad selection of pure stands and mixtures of cover crop species in two years (2017-2018) at four sites: three sites in the Netherlands (Wageningen, Neer and Scheemda) and one site in Germany (Grundhof). All pure stands and mixtures were grown for a period of 11-13 weeks between August and November in each year. Aboveground biomass and N yield were determined. Yields in different treatments (unique pure stands or mixture compositions) in each site-year were regressed on the mean yields in each siteyear to assess differences in responsiveness between treatments. Mixed effects models were used to estimate and compare yield variability in pure stands and mixtures at three levels: 1) between site-years, 2) between treatments and 3) between plots. This analysis was performed for biomass and N yield. Across all pure stands and mixtures tested, average biomass was greater in mixtures than in pure stands, but average biomass was similar when this comparison was made between the five highest yielding pure stands and the five highest yielding mixtures across all site-years. Thus, the lower mean productivity in pure stands was mostly due to some low yielding species. The five best mixtures had 9% higher N yield than the five best pure stands. The response of treatment yields to mean site-year yield was similar for mixtures and pure stands. Variation in cover crop yield over site-years was large in both pure stands and mixtures. On the other hand, mixing species significantly reduced the variability in biomass between treatments and between plots. However, when pure stands with low productivity were excluded, this difference in yield variability disappeared. This implies that the risk of choosing a sub-optimal cover crop is lower when a species mixture is used instead of a pure stand, unless the highest yielding species are known in advance. The results indicate that the positive effects of diversity on productivity and yield variability in cover cropping are restricted to reducing variability within the field and do not provide insurance against adverse conditions related to variability in growing conditions amongst sites and years.",2021,10.1016/j.fcr.2021.108217,Gesamtreview,Kohlenstoffkreislauf,Biomasseproduktion,Artenvielfalt,pos,Feld,"Mono vs. Mischkultur, höherer Ertrag in Mischungen, auch NL",Deutschland,Grundhof,Agrar- und Offenland,,,Bäume,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Roscher, C., V. M. Temperton, M. Scherer-Lorenzen, M. Schmitz, J. Schumacher, B. Schmid, N. Buchmann, W. W. Weisser, and E.-D. Schulze",Overyielding in experimental grassland communities - Irrespective of species pool or spatial scale,Ecology Letters,"In a large integrated biodiversity project ('The Jena Experiment' in Germany) we established two experiments, one with a pool of 60 plant species that ranged broadly from dominant to subordinate competitors on large 20 x 20 m and small 3.5 x 3.5 m plots (= main experiment), and one with a pool of nine potentially dominant species on small 3.5 x 3.5 m plots (= dominance experiment). We found identical positive species richness-aboveground productivity relationships in the main experiment at both scales. This result suggests that scaling up, at least over the short term, is appropriate in interpreting the implications of such experiments for larger-scale patterns. The species richness-productivity relationship was more pronounced in the experiment with dominant species (46.7 and 82.6% yield increase compared to mean monoculture, respectively). Additionally, transgressive overyielding occurred more frequently in the dominance experiment (67.7% of cases) than in the main experiment (23.4% of cases). Additive partitioning and relative yield total analyses showed that both complementarity and selection effects contributed to the positive net biodiversity effect. ©2005 Blackwell Publishing Ltd/CNRS.",2005,10.1111/j.1461-0248.2005.00736.x,Agrar-Kapitel,Kohlenstoffkreislauf,Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel (1.1.1.1),Artenvielfalt,pos,Feld,,,,Ackerflächen,Pflanzen,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Tylianakis, J.M., Rand, T.A., Kahmen, A., Klein, A.-M., Buchmann, N., Perner, J. , und Tscharntke, T.",Resource heterogeneity moderates the biodiversity-function relationship in real world ecosystems,PLOS BIOLOGY,"Numerous recent studies have tested the effects of plant, pollinator, and predator diversity on primary productivity, pollination, and consumption, respectively. Many have shown a positive relationship, particularly in controlled experiments, but variability in results has emphasized the context-dependency of these relationships. Complementary resource use may lead to a positive relationship between diversity and these processes, but only when a diverse array of niches is available to be partitioned among species. Therefore, the slope of the diversity-function relationship may change across differing levels of heterogeneity, but empirical evaluations of this pattern are lacking. Here we examine three important functions/properties in different real world (i.e., nonexperimental) ecosystems: plant biomass in German grasslands, parasitism rates across five habitat types in coastal Ecuador, and coffee pollination in agroforestry systems in Indonesia. We use general linear and structural equation modeling to demonstrate that the effect of diversity on these processes is context dependent, such that the slope of this relationship increases in environments where limiting resources (soil nutrients, host insects, and coffee flowers, respectively) are spatially heterogeneous. These real world patterns, combined with previous experiments, suggest that biodiversity may have its greatest impact on the functioning of diverse, naturally heterogeneous ecosystems.",2008,10.1371/journal.pbio.0060122,Agrar-Kapitel,Kohlenstoffkreislauf,Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel (1.1.1.1),Artenvielfalt,pos,Feld,,,,Grasland,Pflanzen,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
Ja,"Carlsson, M., M. Merten, M. Kayser, J. Isselstein, and N. Wrage-Mönnig",Drought stress resistance and resilience of permanent grasslands are shaped by functional group composition and N fertilization,"Agriculture, Ecosystems & Environment","Central European old permanent grasslands are of considerable economic importance and ecological value. So far, there are conflicting results on their resistance and resilience to future drought events. Especially the influence of functional diversity on these attributes has yet to be fully understood, as most studies originate from experimental grassland communities. During three consecutive years we induced spring and summer drought events on three permanent grassland sites typical for Northern Germany. We observed a larger drought resistance in swards that were grass-dominated than in functionally diverse swards. Grasses determined the drought resistance potential of a sward, and their performance was impaired by the presence of forbs and legumes. Fertilization increased the resistance to drought stress of swards either through direct positive effects on the productivity or indirect effects through changes of functional sward composition. Sward functional composition was not important for sward resilience. Grasses and whole swards were resilient to drought stress only if previously fertilized. We found that the grass functional group is responsible for the swards’ resistance and resilience to drought, but its behaviour was partly regulated not only by the presence but also by the biomass share of the forb and legume functional group. The differences among the functional groups’ share of the total sward biomass might be important determinants of responses to drought stress. We therefore hypothesize that there is no uniform reaction of permanent grassland to drought stress events.",2017,10.1016/j.agee.2016.11.009,Agrar-Kapitel,Kohlenstoffkreislauf,Biomasse,Funktionelle Diversität,neu,Feld,,Deutschland,Norddeutschland,,,,,Biomasseproduktion,,Agrar- und Offenland,Biomasse,"Kulturpflanzen für Nahrungsmittel, Rohstoffe und Energie",Kulturpflanzen (einschließlich Pilze und Algen) und deren Produkte als Nahrungsmittel,1.1.1.1,Biomasse,Kulturpflanzen als Nahrungsmittel
